fighter,fighter_url,record,nickname,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,raw_stats_json
Christian Rodriguez,http://ufcstats.com/fighter-details/5ec591b78349ba7e,13-4-0,Ceerod,"5' 7""",145 lbs.,"71""",Orthodox,"Dec 17, 1997",3.90,50%,2.94,,1.81,40%,67%,1.1,"{""Height"": ""5' 7\"""", ""Weight"": ""145 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Dec 17, 1997"", ""SLpM"": ""3.90"", ""Str. Acc."": ""50%"", ""SApM"": ""2.94"", ""Str. Def"": ""56%"", ""TD Avg."": ""1.81"", ""TD Acc."": ""40%"", ""TD Def."": ""67%"", ""Sub. Avg."": ""1.1""}"
Murtazali Magomedov,http://ufcstats.com/fighter-details/d436f5d55156a521,11-0-0,The Highlight,"5' 9""",145 lbs.,"70""",Orthodox,"Aug 26, 1999",4.83,48%,2.07,,5.17,50%,0%,5.2,"{""Height"": ""5' 9\"""", ""Weight"": ""145 lbs."", ""Reach"": ""70\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Aug 26, 1999"", ""SLpM"": ""4.83"", ""Str. Acc."": ""48%"", ""SApM"": ""2.07"", ""Str. Def"": ""81%"", ""TD Avg."": ""5.17"", ""TD Acc."": ""50%"", ""TD Def."": ""0%"", ""Sub. Avg."": ""5.2""}"
Vinicius Oliveira,http://ufcstats.com/fighter-details/18d01f7f8338ae72,24-4-0,LokDog,"5' 9""",145 lbs.,"70""",Switch,"Nov 30, 1995",5.44,47%,2.86,,1.27,43%,71%,0.2,"{""Height"": ""5' 9\"""", ""Weight"": ""145 lbs."", ""Reach"": ""70\"""", ""STANCE"": ""Switch"", ""DOB"": ""Nov 30, 1995"", ""SLpM"": ""5.44"", ""Str. Acc."": ""47%"", ""SApM"": ""2.86"", ""Str. Def"": ""58%"", ""TD Avg."": ""1.27"", ""TD Acc."": ""43%"", ""TD Def."": ""71%"", ""Sub. Avg."": ""0.2""}"
Kevin Borjas,http://ufcstats.com/fighter-details/34b96d52db1d26e6,11-5-0,El Gallo Negro,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 06, 1997",3.87,42%,5.27,,0.00,0%,72%,0.0,"{""Height"": ""5' 5\"""", ""Weight"": ""125 lbs."", ""Reach"": ""68\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Dec 06, 1997"", ""SLpM"": ""3.87"", ""Str. Acc."": ""42%"", ""SApM"": ""5.27"", ""Str. Def"": ""50%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""72%"", ""Sub. Avg."": ""0.0""}"
Bia Mesquita,http://ufcstats.com/fighter-details/eff9074bc066f0f2,8-0-0,The Lady GOAT,"5' 4""",135 lbs.,"67""",Orthodox,"Apr 07, 1991",4.52,57%,1.27,,3.57,75%,0%,3.6,"{""Height"": ""5' 4\"""", ""Weight"": ""135 lbs."", ""Reach"": ""67\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Apr 07, 1991"", ""SLpM"": ""4.52"", ""Str. Acc."": ""57%"", ""SApM"": ""1.27"", ""Str. Def"": ""71%"", ""TD Avg."": ""3.57"", ""TD Acc."": ""75%"", ""TD Def."": ""0%"", ""Sub. Avg."": ""3.6""}"
Mitch Raposo,http://ufcstats.com/fighter-details/0be6776db31d98ec,11-3-0,,"5' 5""",125 lbs.,"64""",Switch,"Oct 16, 1998",1.91,38%,2.92,,1.98,36%,68%,0.0,"{""Height"": ""5' 5\"""", ""Weight"": ""125 lbs."", ""Reach"": ""64\"""", ""STANCE"": ""Switch"", ""DOB"": ""Oct 16, 1998"", ""SLpM"": ""1.91"", ""Str. Acc."": ""38%"", ""SApM"": ""2.92"", ""Str. Def"": ""60%"", ""TD Avg."": ""1.98"", ""TD Acc."": ""36%"", ""TD Def."": ""68%"", ""Sub. Avg."": ""0.0""}"
Gaston Bolanos,http://ufcstats.com/fighter-details/96924b0019b3aff1,9-5-0,The Dreamkiller,"5' 7""",145 lbs.,"69""",Orthodox,"Sep 14, 1992",3.91,47%,3.54,,0.75,75%,50%,0.0,"{""Height"": ""5' 7\"""", ""Weight"": ""145 lbs."", ""Reach"": ""69\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Sep 14, 1992"", ""SLpM"": ""3.91"", ""Str. Acc."": ""47%"", ""SApM"": ""3.54"", ""Str. Def"": ""54%"", ""TD Avg."": ""0.75"", ""TD Acc."": ""75%"", ""TD Def."": ""50%"", ""Sub. Avg."": ""0.0""}"
Levan Chokheli,http://ufcstats.com/fighter-details/a69a7120cf26669d,15-3-0 (1 NC),,"5' 11""",170 lbs.,"72""",Orthodox,"Oct 02, 1996",15.65,54%,0.00,,0.00,0%,0%,0.0,"{""Height"": ""5' 11\"""", ""Weight"": ""170 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Oct 02, 1996"", ""SLpM"": ""15.65"", ""Str. Acc."": ""54%"", ""SApM"": ""0.00"", ""Str. Def"": ""100%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""0%"", ""Sub. Avg."": ""0.0""}"
Luana Santos,http://ufcstats.com/fighter-details/5078e1dacf9d25f4,11-2-0,,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 16, 2000",2.53,53%,2.45,,2.14,37%,85%,1.0,"{""Height"": ""5' 6\"""", ""Weight"": ""135 lbs."", ""Reach"": ""67\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Apr 16, 2000"", ""SLpM"": ""2.53"", ""Str. Acc."": ""53%"", ""SApM"": ""2.45"", ""Str. Def"": ""64%"", ""TD Avg."": ""2.14"", ""TD Acc."": ""37%"", ""TD Def."": ""85%"", ""Sub. Avg."": ""1.0""}"
Shane Collins,http://ufcstats.com/fighter-details/70fc8214822b5a85,8-0-0,Hollywood,"5' 9""",145 lbs.,"71""",Orthodox,"Mar 08, 2000",5.07,55%,3.87,,0.00,0%,44%,3.0,"{""Height"": ""5' 9\"""", ""Weight"": ""145 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Mar 08, 2000"", ""SLpM"": ""5.07"", ""Str. Acc."": ""55%"", ""SApM"": ""3.87"", ""Str. Def"": ""34%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""44%"", ""Sub. Avg."": ""3.0""}"
Justin Gaethje,http://ufcstats.com/fighter-details/9e8f6c728eb01124,28-5-0,The Highlight,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988",6.29,57%,6.83,,0.30,26%,73%,0.0,"{""Height"": ""5' 11\"""", ""Weight"": ""155 lbs."", ""Reach"": ""70\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Nov 14, 1988"", ""SLpM"": ""6.29"", ""Str. Acc."": ""57%"", ""SApM"": ""6.83"", ""Str. Def"": ""50%"", ""TD Avg."": ""0.30"", ""TD Acc."": ""26%"", ""TD Def."": ""73%"", ""Sub. Avg."": ""0.0""}"
Ciryl Gane,http://ufcstats.com/fighter-details/787bb1f087ccff8a,14-2-0 (1 NC),Bon Gamin,"6' 4""",247 lbs.,"81""",Orthodox,"Apr 12, 1990",5.40,61%,2.31,,0.66,23%,47%,0.6,"{""Height"": ""6' 4\"""", ""Weight"": ""247 lbs."", ""Reach"": ""81\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Apr 12, 1990"", ""SLpM"": ""5.40"", ""Str. Acc."": ""61%"", ""SApM"": ""2.31"", ""Str. Def"": ""60%"", ""TD Avg."": ""0.66"", ""TD Acc."": ""23%"", ""TD Def."": ""47%"", ""Sub. Avg."": ""0.6""}"
Sean O'Malley,http://ufcstats.com/fighter-details/b50a426a33da0012,20-3-0 (1 NC),Suga,"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994",5.98,60%,3.40,,0.23,42%,60%,0.2,"{""Height"": ""5' 11\"""", ""Weight"": ""135 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Switch"", ""DOB"": ""Oct 24, 1994"", ""SLpM"": ""5.98"", ""Str. Acc."": ""60%"", ""SApM"": ""3.40"", ""Str. Def"": ""59%"", ""TD Avg."": ""0.23"", ""TD Acc."": ""42%"", ""TD Def."": ""60%"", ""Sub. Avg."": ""0.2""}"
Josh Hokit,http://ufcstats.com/fighter-details/955da1675ad58a50,10-0-0,,"6' 1""",235 lbs.,"73""",Orthodox,"Nov 12, 1997",9.29,64%,5.28,,3.73,47%,77%,0.4,"{""Height"": ""6' 1\"""", ""Weight"": ""235 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Nov 12, 1997"", ""SLpM"": ""9.29"", ""Str. Acc."": ""64%"", ""SApM"": ""5.28"", ""Str. Def"": ""48%"", ""TD Avg."": ""3.73"", ""TD Acc."": ""47%"", ""TD Def."": ""77%"", ""Sub. Avg."": ""0.4""}"
Mauricio Ruffy,http://ufcstats.com/fighter-details/9c393e836a852f30,14-2-0,,"5' 11""",155 lbs.,"75""",Orthodox,"Jun 17, 1996",4.19,57%,3.83,,0.00,0%,86%,0.0,"{""Height"": ""5' 11\"""", ""Weight"": ""155 lbs."", ""Reach"": ""75\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jun 17, 1996"", ""SLpM"": ""4.19"", ""Str. Acc."": ""57%"", ""SApM"": ""3.83"", ""Str. Def"": ""59%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""86%"", ""Sub. Avg."": ""0.0""}"
Bo Nickal,http://ufcstats.com/fighter-details/35673bf5204524ee,9-1-0,,"6' 1""",185 lbs.,"76""",Southpaw,"Jan 14, 1996",3.36,61%,1.93,,3.12,57%,100%,2.3,"{""Height"": ""6' 1\"""", ""Weight"": ""185 lbs."", ""Reach"": ""76\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Jan 14, 1996"", ""SLpM"": ""3.36"", ""Str. Acc."": ""61%"", ""SApM"": ""1.93"", ""Str. Def"": ""60%"", ""TD Avg."": ""3.12"", ""TD Acc."": ""57%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""2.3""}"
Diego Lopes,http://ufcstats.com/fighter-details/f166e93d04a8c274,28-8-0,,"5' 11""",145 lbs.,"72""",Orthodox,"Dec 30, 1994",3.79,47%,4.65,,0.82,46%,68%,1.3,"{""Height"": ""5' 11\"""", ""Weight"": ""145 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Dec 30, 1994"", ""SLpM"": ""3.79"", ""Str. Acc."": ""47%"", ""SApM"": ""4.65"", ""Str. Def"": ""46%"", ""TD Avg."": ""0.82"", ""TD Acc."": ""46%"", ""TD Def."": ""68%"", ""Sub. Avg."": ""1.3""}"
Gabriel Bonfim,http://ufcstats.com/fighter-details/01641ba5df0c69b0,20-1-0,Marretinha,"6' 1""",170 lbs.,"72""",Orthodox,"Aug 20, 1997",4.76,47%,3.61,,2.57,53%,78%,1.0,"{""Height"": ""6' 1\"""", ""Weight"": ""170 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Aug 20, 1997"", ""SLpM"": ""4.76"", ""Str. Acc."": ""47%"", ""SApM"": ""3.61"", ""Str. Def"": ""64%"", ""TD Avg."": ""2.57"", ""TD Acc."": ""53%"", ""TD Def."": ""78%"", ""Sub. Avg."": ""1.0""}"
Brendan Allen,http://ufcstats.com/fighter-details/2f181c0467965b98,27-7-0,All In,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.75,52%,3.78,,1.52,41%,57%,1.1,"{""Height"": ""6' 2\"""", ""Weight"": ""185 lbs."", ""Reach"": ""75\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Dec 28, 1995"", ""SLpM"": ""3.75"", ""Str. Acc."": ""52%"", ""SApM"": ""3.78"", ""Str. Def"": ""47%"", ""TD Avg."": ""1.52"", ""TD Acc."": ""41%"", ""TD Def."": ""57%"", ""Sub. Avg."": ""1.1""}"
Tom Nolan,http://ufcstats.com/fighter-details/6c3b2525436cf5d4,11-1-0,Big Train,"6' 3""",155 lbs.,"73""",Southpaw,"Mar 08, 2000",4.84,45%,3.74,,1.08,26%,58%,1.4,"{""Height"": ""6' 3\"""", ""Weight"": ""155 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Mar 08, 2000"", ""SLpM"": ""4.84"", ""Str. Acc."": ""45%"", ""SApM"": ""3.74"", ""Str. Def"": ""48%"", ""TD Avg."": ""1.08"", ""TD Acc."": ""26%"", ""TD Def."": ""58%"", ""Sub. Avg."": ""1.4""}"
Bryce Mitchell,http://ufcstats.com/fighter-details/d9c6f19f958643e9,19-4-0,Thug Nasty,"5' 10""",135 lbs.,"70""",Southpaw,"Oct 04, 1994",2.19,59%,1.51,,3.12,36%,38%,1.3,"{""Height"": ""5' 10\"""", ""Weight"": ""135 lbs."", ""Reach"": ""70\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Oct 04, 1994"", ""SLpM"": ""2.19"", ""Str. Acc."": ""59%"", ""SApM"": ""1.51"", ""Str. Def"": ""58%"", ""TD Avg."": ""3.12"", ""TD Acc."": ""36%"", ""TD Def."": ""38%"", ""Sub. Avg."": ""1.3""}"
Iwo Baraniewski,http://ufcstats.com/fighter-details/1c23ec2f1b71be40,9-0-0,Rudy,"6' 0""",205 lbs.,"73""",Orthodox,"Nov 20, 1998",11.35,57%,8.65,,0.00,0%,100%,0.0,"{""Height"": ""6' 0\"""", ""Weight"": ""205 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Nov 20, 1998"", ""SLpM"": ""11.35"", ""Str. Acc."": ""57%"", ""SApM"": ""8.65"", ""Str. Def"": ""52%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.0""}"
Alessandro Costa,http://ufcstats.com/fighter-details/3fa97913cfd205d3,16-5-0,Nono,"5' 4""",125 lbs.,"67""",Orthodox,"Jan 28, 1996",3.86,46%,3.70,,0.77,26%,86%,0.4,"{""Height"": ""5' 4\"""", ""Weight"": ""125 lbs."", ""Reach"": ""67\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jan 28, 1996"", ""SLpM"": ""3.86"", ""Str. Acc."": ""46%"", ""SApM"": ""3.70"", ""Str. Def"": ""56%"", ""TD Avg."": ""0.77"", ""TD Acc."": ""26%"", ""TD Def."": ""86%"", ""Sub. Avg."": ""0.4""}"
Marcus McGhee,http://ufcstats.com/fighter-details/c0ac37a4a1133da9,11-2-0,The Maniac,"5' 8""",135 lbs.,"69""",Orthodox,"May 07, 1990",5.44,43%,3.64,,0.24,11%,90%,0.2,"{""Height"": ""5' 8\"""", ""Weight"": ""135 lbs."", ""Reach"": ""69\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""May 07, 1990"", ""SLpM"": ""5.44"", ""Str. Acc."": ""43%"", ""SApM"": ""3.64"", ""Str. Def"": ""56%"", ""TD Avg."": ""0.24"", ""TD Acc."": ""11%"", ""TD Def."": ""90%"", ""Sub. Avg."": ""0.2""}"
Edgar Chairez,http://ufcstats.com/fighter-details/5ef94841c4bc3f86,14-6-0 (1 NC),Puro Chicali,"5' 7""",125 lbs.,"71""",Orthodox,"Jan 27, 1996",3.76,46%,4.71,,0.00,0%,47%,1.4,"{""Height"": ""5' 7\"""", ""Weight"": ""125 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jan 27, 1996"", ""SLpM"": ""3.76"", ""Str. Acc."": ""46%"", ""SApM"": ""4.71"", ""Str. Def"": ""46%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""47%"", ""Sub. Avg."": ""1.4""}"
Chelsea Chandler,http://ufcstats.com/fighter-details/af9efbfd63d39734,7-4-0,,"5' 8""",135 lbs.,"68""",Southpaw,"Nov 23, 1990",3.52,45%,4.27,,0.81,60%,25%,0.3,"{""Height"": ""5' 8\"""", ""Weight"": ""135 lbs."", ""Reach"": ""68\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Nov 23, 1990"", ""SLpM"": ""3.52"", ""Str. Acc."": ""45%"", ""SApM"": ""4.27"", ""Str. Def"": ""40%"", ""TD Avg."": ""0.81"", ""TD Acc."": ""60%"", ""TD Def."": ""25%"", ""Sub. Avg."": ""0.3""}"
Joanderson Brito,http://ufcstats.com/fighter-details/791c8437b341fba5,19-5-1,Tubarao,"5' 8""",145 lbs.,"72""",Orthodox,"Feb 11, 1995",2.38,50%,2.28,,3.23,67%,57%,1.2,"{""Height"": ""5' 8\"""", ""Weight"": ""145 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Feb 11, 1995"", ""SLpM"": ""2.38"", ""Str. Acc."": ""50%"", ""SApM"": ""2.28"", ""Str. Def"": ""43%"", ""TD Avg."": ""3.23"", ""TD Acc."": ""67%"", ""TD Def."": ""57%"", ""Sub. Avg."": ""1.2""}"
Jeisla Chaves,http://ufcstats.com/fighter-details/8061a3136026a673,8-0-0,A Braba,"5' 6""",125 lbs.,"68""",Orthodox,"Feb 02, 1997",4.97,56%,4.20,,1.50,37%,62%,0.5,"{""Height"": ""5' 6\"""", ""Weight"": ""125 lbs."", ""Reach"": ""68\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Feb 02, 1997"", ""SLpM"": ""4.97"", ""Str. Acc."": ""56%"", ""SApM"": ""4.20"", ""Str. Def"": ""53%"", ""TD Avg."": ""1.50"", ""TD Acc."": ""37%"", ""TD Def."": ""62%"", ""Sub. Avg."": ""0.5""}"
